"","player","height","weight","birth_year"
"553","Earl Watson",185,88,1979
"554","Loren Woods",216,111,1978
"555","Robert Archibald",211,113,1980
"556","Maceo Baston",206,97,1975
"557","Mike Batiste",203,102,1977
"558","Lonny Baxter",203,117,1979
"559","Carlos Boozer",206,117,1981
"560","J.R. Bremer",206,117,1981
"561","Pat Burke",211,113,1973
"562","Caron Butler",201,103,1980
"563","Rasual Butler",201,97,1979
"564","Dan Dickau",183,86,1978
"565","Juan Dixon",190,74,1978
"566","Melvin Ely",208,117,1978
"567","Reggie Evans",203,111,1980
"568","Dan Gadzuric",211,108,1978
"569","Manu Ginobili",198,92,1977
"570","Gordan Giricek",198,95,1977
"571","Drew Gooden",208,113,1981
"572","Marcus Haislip",208,104,1980
"573","Adam Harrington",196,90,1980
"574","Junior Harrington",193,81,1980
"575","Juaquin Hawkins",201,99,1973
"576","Nene Hilario",211,113,1982
"577","Nate Huffman",216,111,1975
"578","Ryan Humphrey",203,106,1979
"579","Casey Jacobsen",198,97,1981
"580","Marko Jaric",201,89,1978
"581","Chris Jefferies",203,102,1980
"582","Jared Jeffries",211,104,1981
"583","Fred Jones",193,95,1979
"584","Sean Lampley",201,102,1979
"585","Tito Maddox",193,86,1981
"586","Roger Mason",196,90,1980
"587","Yao Ming*",229,140,1980
"588","Ronald Murray",193,86,1979
"589","Bostjan Nachbar",206,100,1980
"590","Mehmet Okur",211,112,1979
"591","Chris Owens",201,111,1979
"592","Jannero Pargo",185,79,1979
"593","Smush Parker",193,86,1981
"594","Tayshaun Prince",206,96,1980
"595","Igor Rakocevic",190,83,1978
"596","Efthimi Rentzias",211,113,1976
"597","Antoine Rigaudeau",201,95,1971
"598","Guy Rucker",211,120,1977
"599","Kareem Rush",198,97,1980
"600","John Salmons",201,95,1979
"601","Jamal Sampson",211,106,1983
"602","Predrag Savovic",198,102,1976
"603","Paul Shirley",208,104,1977
"604","Tamar Slay",203,97,1980
"605","Amar'e Stoudemire",208,111,1982
"606","Cezary Trybanski",218,108,1979
"607","Nikoloz Tskitishvili",213,102,1983
"608","Jiri Welsch",201,94,1980
"609","Chris Wilcox",208,100,1982
"610","Mike Wilks",178,83,1979
"611","Qyntel Woods",203,100,1981
"612","Vincent Yarbrough",201,95,1981
"613","Carmelo Anthony",203,108,1984
"614","Marcus Banks",188,90,1981
"615","Leandro Barbosa",190,87,1982
"616","Jerome Beasley",208,107,1980
"617","Troy Bell",185,81,1980
"618","Steve Blake",190,78,1980
"619","Keith Bogans",196,97,1980
"620","Curtis Borchardt",213,108,1980
"621","Chris Bosh",211,106,1984
"622","Torraye Braggs",203,111,1976
"623","Zarko Cabarkapa",211,106,1981
"624","Matt Carroll",198,96,1980
"625","Maurice Carter",196,95,1976
"626","Brian Cook",206,106,1980
"627","Omar Cook",185,86,1982
"628","Marquis Daniels",198,90,1981
"629","Boris Diaw",203,113,1982
"630","Kaniel Dickens",203,97,1978
"631","Ronald Dupree",201,94,1981
"632","Ndudi Ebi",206,90,1984
"633","Francisco Elson",213,106,1976
"634","Desmond Ferguson",201,92,1977
"635","T.J. Ford",201,92,1977
"636","Richie Frahm",196,95,1977
"637","Hiram Fuller",206,108,1981
"638","Reece Gaines",198,92,1981
"639","Alex Garcia",190,99,1980
"640","Willie Green",193,90,1981
"641","Ben Handlogten",208,108,1973
"642","Travis Hansen",198,92,1978
"643","Udonis Haslem",203,106,1980
"644","Jarvis Hayes",201,99,1981
"645","Kirk Hinrich",193,86,1981
"646","Josh Howard",201,95,1980
"647","Brandon Hunter",201,117,1980
"648","LeBron James",203,113,1984
"649","Britton Johnsen",208,95,1979
"650","Linton Johnson",203,92,1980
"651","Dahntay Jones",190,83,1976
"652","Chris Kaman",213,120,1982
"653","Jason Kapono",203,96,1981
"654","Kyle Korver",201,96,1981
"655","Maciej Lampe",211,124,1985
"656","Raul Lopez",185,77,1980
"657","Keith McLeod",188,85,1979
"658","Darko Milicic",213,113,1985
"659","Travis Outlaw",206,95,1984
"660","Zaza Pachulia",211,122,1984
"661","Sasha Pavlovic",211,122,1984
"662","Desmond Penigar",201,111,1981
"663","Kirk Penney",196,99,1980
"664","Kendrick Perkins",208,122,1984
"665","Mickael Pietrus",198,97,1982
"666","Zoran Planinic",201,88,1982
"667","Luke Ridnour",188,79,1981
"668","Theron Smith",203,102,1980
"669","Darius Songaila",206,112,1978
"670","Mike Sweetney",203,124,1982
"671","Ime Udoka",198,97,1977
"672","Slavko Vranes",226,124,1983
"673","Dwyane Wade",193,99,1982
"674","Luke Walton",203,106,1980
"675","David West",206,113,1980
"676","Mo Williams",203,102,1971
"677","Tony Allen",193,96,1982
"678","Rafael Araujo",211,127,1980
