"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"2081",26,21500083,1509.67,2,69.67,18.05,201939,"Curry","Stephen",1610612744,276,1,17.09164,4.13537,201568,"Gallinari","Danilo",1610612743,13.74594,2.52131,3.71468682039281,190,208,-18,23.9907737042076,86.1770621136499,"Left"
"2111",29,21500083,1467.55,2,27.55,13.43,201939,"Curry","Stephen",1610612744,280,1,16.51473,47.96757,203115,"Barton","Will",1610612743,13.23404,43.67625,5.40169919733596,190,198,-8,25.5813098507055,11.2714938666184,"Left"
"2151",33,21500083,1366.15,3,646.15,20.57,201939,"Curry","Stephen",1610612744,294,0,65.05396,11.46716,1626144,"Mudiay","Emmanuel",1610612743,69.44373,14.46857,5.3177572942924,190,196,-6,27.2880939266047,4.63077621597203,"Left"
"2181",36,21500083,1086.8,3,366.8,11.02,201939,"Curry","Stephen",1610612744,345,0,81.94656,48.17725,1626144,"Mudiay","Emmanuel",1610612743,83.22861,42.98589,5.34732370930543,190,196,-6,24.1551591465695,2.48694399105154,"Right"
"2191",37,21500083,1082.87,3,362.87,22.11,201939,"Curry","Stephen",1610612744,343,0,89.66917,47.4124,1626144,"Mudiay","Emmanuel",1610612743,86.41767,42.94564,5.52487078107714,190,196,-6,22.4312404304555,33.7036125693034,"Right"
"2201",38,21500083,1019.85,3,299.85,12.12,201939,"Curry","Stephen",1610612744,352,0,89.54345,2.56032,201568,"Gallinari","Danilo",1610612743,87.88553,8.13662,5.81754419118583,190,208,-18,22.4537035120022,14.5329341764652,"Left"
"2221",40,21500083,904.12,3,184.12,15.4,201939,"Curry","Stephen",1610612744,367,1,82.5638,47.75183,203115,"Barton","Will",1610612743,85.3832,48.75166,2.99143383495273,190,198,-8,23.5778463560373,94.3148450740422,"Left"
"2341",52,21500083,239.1,4,239.1,15.78,201939,"Curry","Stephen",1610612744,495,0,62.68629,32.42952,201589,"Arthur","Darrell",1610612743,66.97342,29.95178,4.95163398733186,190,206,-16,27.1019325213997,14.1153745118456,"Right"
"2431",5,21500092,2688.1,1,528.1,17.68,201939,"Curry","Stephen",1610612744,25,0,29.46627,39.40545,200765,"Rondo","Rajon",1610612758,25.97648,36.07263,4.82559047127914,190,185,5,28.1770247261026,12.9350099180056,"Left"
"2491",11,21500092,2272.52,1,112.52,20.79,201939,"Curry","Stephen",1610612744,112,0,25.02682,45.06384,201956,"Casspi","Omri",1610612758,22.25347,39.99813,5.77519592971528,190,206,-16,28.1723319030924,15.8876304735013,"Left"
"2501",12,21500092,2216.68,1,56.68,14.45,201939,"Curry","Stephen",1610612744,122,0,12.08212,46.7049,200765,"Rondo","Rajon",1610612758,10.72621,42.83731,4.09838313682359,190,185,5,22.7547917526046,1.84717877922249,"Left"
"2621",24,21500092,1560.06,2,120.06,18.67,201939,"Curry","Stephen",1610612744,246,0,29.31578,12.25457,201585,"Koufos","Kosta",1610612758,18.66862,19.13029,12.6742866301816,190,213,-23,27.2324760698197,4.94750112113884,"Right"
"2661",28,21500092,1163.76,3,443.76,20.44,201939,"Curry","Stephen",1610612744,312,0,64.60093,36.89642,200765,"Rondo","Rajon",1610612758,63.09548,36.0169,1.74354097540035,190,185,5,26.9202970021005,123.479522863701,"Right"
"2711",33,21500092,1053.9,3,333.9,18.53,201939,"Curry","Stephen",1610612744,326,0,83.11732,47.85145,202341,"Anderson","James",1610612758,84.9282,40.95123,7.1338855067067,190,198,-8,23.5354169515838,0.858109921618095,"Right"
"2721",34,21500092,1045.98,3,325.98,20.19,201939,"Curry","Stephen",1610612744,325,0,79.68741,47.48833,202341,"Anderson","James",1610612758,77.49558,41.50888,6.368511682599,190,198,-8,24.2457320717895,42.0799207789551,"Right"
"2811",43,21500092,743.03,3,23.03,10,201939,"Curry","Stephen",1610612744,390,0,67.01255,35.06687,200765,"Rondo","Rajon",1610612758,70.5973,28.44211,7.53245495307473,190,185,5,23.9553460442424,36.7321497578042,"Right"
"2901",52,21500092,43.92,4,43.92,2.92,201939,"Curry","Stephen",1610612744,528,1,85.83841,2.24021,201585,"Koufos","Kosta",1610612758,85.10131,13.6769,11.4604186034412,190,213,-23,22.9452696033888,10.9777163524058,"Left"
"2951",5,21500104,2257.73,1,97.73,8.24,201939,"Curry","Stephen",1610612744,93,0,5.88502,47.67945,2581,"Blake","Steve",1610612765,6.55159,43.59777,4.1357498941909,190,190,0,22.6883384738262,10.8788219501568,"Left"
"3111",21,21500104,1245.43,3,525.43,20.72,201939,"Curry","Stephen",1610612744,273,1,65.52706,35.36251,203083,"Drummond","Andre",1610612765,60.18983,32.49726,6.05769606660817,190,211,-21,25.4300325549084,127.723900081157,"Right"
"3161",26,21500104,1002.11,3,282.11,6.22,201939,"Curry","Stephen",1610612744,316,0,74.92836,45.20174,203484,"Caldwell-Pope","Kentavious",1610612765,71.14193,45.37021,3.79017602306278,190,196,-6,24.4775005120458,126.926766024681,"Left"
"3171",27,21500104,997.71,3,277.71,21.57,201939,"Curry","Stephen",1610612744,317,0,48.98344,39.44185,203484,"Caldwell-Pope","Kentavious",1610612765,40.34062,41.35852,8.85279399067323,190,196,-6,42.3077572751865,172.544525180576,"Left"
"3261",36,21500104,243.4,4,243.4,14.06,201939,"Curry","Stephen",1610612744,444,1,62.69569,21.69559,203484,"Caldwell-Pope","Kentavious",1610612765,64.65068,26.58716,5.26777400473862,190,196,-6,26.263019533637,60.9870268789697,"Left"
"3341",4,21500120,1674.04,2,234.04,13.04,201939,"Curry","Stephen",1610612744,219,0,25.1736,10.64259,201584,"Lee","Courtney",1610612763,20.61336,12.9969,5.13211110886154,190,196,-6,24.5577901869875,8.47150031385971,"Right"
"3361",6,21500120,1447,2,7,NA,201939,"Curry","Stephen",1610612744,285,0,32.29516,17.12445,2754,"Allen","Tony",1610612763,28.67651,14.5248,4.45564899257112,190,193,-3,28.1685102060457,51.9291488816101,"Left"
"3401",10,21500120,1151.12,3,431.12,14.32,201939,"Curry","Stephen",1610612744,337,0,65.4366,15.57214,201584,"Lee","Courtney",1610612763,69.21504,17.42379,4.20775671303606,190,196,-6,25.1475478673289,4.08923437417428,"Left"
"3421",12,21500120,801.48,3,81.48,10.68,201939,"Curry","Stephen",1610612744,429,0,65.28121,42.10964,203893,"Smith","Russ",1610612763,69.5908,38.91144,5.36666089930228,190,183,7,29.0434826595176,0.486095560803265,"Right"
"3491",19,21500120,335.72,4,335.72,12.68,201939,"Curry","Stephen",1610612744,503,0,83.24329,3.52427,2754,"Allen","Tony",1610612763,79.7329,17.32525,14.2404314159544,190,193,-3,22.1704946732589,28.6526861486014,"Left"
"3571",1,21500125,2816.59,1,656.59,18.44,201939,"Curry","Stephen",1610612744,5,1,31.81303,38.06279,203897,"LaVine","Zach",1610612750,26.26073,34.41417,6.64382895583564,190,196,-6,29.601200066298,7.12400167227653,"Left"
